AQW00061705        3614C
USC00145888        1120S
USC00145906        1151R
USC00145972        1024S
USC00146100        1022S
USC00146128        1102S
USC00146209        1116S
USC00146242        1173S
USC00146333        1005S
USC00146374        1210R
USC00146378        1205R
USC00146435        1124R
USC00146498        1125R
USC00146549        1238R
USC00146637        1131S
USC00146808        1338S
USC00147042        1156Q
USC00147049        1262R
USC00147050        1167R
USC00147093        1171S
USC00147271        1222S
USC00147305        1293S
USC00147397        1156C
USC00147534        1237R
USC00147542        1223S
USC00147551        1224R
USC00147796        1210S
USC00147922        1445S
USC00148038        1349S
USC00148061        1131Q
USC00148191        1179R
USC00148235        1199S
USC00148240        1201R
USC00148250        1021S
USC00148259        1103C
USC00148287        1311S
USC00148495        1232C
USC00148535        1266Q
USC00148563        1148R
USC00148578        1152S
USC00148648        1290R
USC00148670        1281S
USC00148914        1390R
USC00148946        1196S
USC00148964        1181S
USC00148988        1135R
USC00149080        1093S
USC00150254         927S
USC00150381        1188S
USC00150397        1129R
USC00150402        1312S
USC00150422        1480S
USC00150450        1095S
USC00150483        1073Q
USC00150490        1194R
USC00150619        1198R
USC00150630        1295S
USC00150858        1152Q
USC00150860        1151Q
USC00150940        1236S
USC00150955        1158R
USC00151080        1201Q
USC00151227        1199Q
USC00151318        1126Q
USC00151345        1155R
USC00151517        1084Q
USC00151810        1203Q
USC00151890        1167R
USC00151895        1039Q
USC00151900        1147R
USC00151998        1113R
USC00152040        1005S
USC00152214         991R
USC00152409        1004R
USC00152442        1348Q
USC00152512        1019R
USC00152575        1270Q
USC00152775        1045R
USC00152791        1205S
USC00153028        1113R
USC00153223        1448R
USC00153230         977Q
USC00153246        1451R
USC00153295        1310R
USC00153382         923R
USC00153389        1135R
USC00153391        1163R
USC00153430        1266S
USC00153604        1275R
USC00153741        1200R
USC00153744        1080Q
USC00153762        1203S
USC00153929        1160S
USC00153994        1333R
USC00154138        1053Q
USC00154208        1141R
USC00154375        1308Q
USC00154703        1102S
USC00154958        1156Q
USC00154967        1363R
USC00155067        1415S
USC00155097        1330R
USC00155111        1167R
USC00155165        1231Q
USC00155233        1342R
USC00155243        1119R
USC00155280        1026Q
USC00155389        1190R
USC00155524        1147S
USC00155640        1011R
USC00155648        1050S
USC00155694        1288R
USC00155834        1386S
USC00156012         827Q
USC00156028        1123Q
USC00156091        1466R
USC00156117        1439R
USC00156136        1155S
USC00156224        1054Q
USC00156580        1372S
USC00156595        1330R
USC00156882        1288R
USC00156988        1267S
USC00157049        1213R
USC00157215        1184S
USC00157324        1166R
USC00157510        1034S
USC00157592        1194Q
USC00157652         978Q
USC00157677        1094S
USC00157800        1288S
USC00158432         922Q
USC00158446        1065S
USC00158551        1012S
USC00158553        1001Q
USC00158555        1218Q
USC00158709         987R
USC00158714        1086R
USC00158824        1167Q
USC00160098        1801S
USC00160103        1807R
USC00160205        1912S
USC00160349        1735S
USC00160537        1667S
USC00160718        1591Q
USC00160800        1668S
USC00160945        1858R
USC00161232        1683S
USC00161246        1903R
USC00161287        1838S
USC00161292        1733R
USC00161411        1628S
USC00161565        1844S
USC00161899        1711S
USC00161941        1803Q
USC00161979        1703R
USC00162151        1786R
USC00162212        1831S
USC00162361        1827R
USC00162367        1849S
USC00162534        1896C
USC00162800        1874R
USC00162981        2001R
USC00163079        1668R
USC00163313        1763S
USC00163327        1926R
USC00163433        1774S
USC00163800        1887S
USC00163979        1770R
USC00164030        1883S
USC00164288        1767Q
USC00164355        1607S
USC00164407        1935R
USC00164674        1892C
USC00164696        1749R
USC00164700        1889C
USC00164739        1781R
USC00165021        1856R
USC00165065        1878R
USC00165090        1658C
USC00165146        1722Q
USC00165266        1806R
USC00165296        1702R
USC00165527        1679R
USC00165620        1916S
USC00165624        1800R
USC00165630        1797C
USC00165874        1718R
USC00165892        1712S
USC00165926        1859R
USC00166244        1689S
USC00166314        1758S
USC00166364        1630Q
USC00166394        1800S
USC00166434        1788Q
USC00166582        1839S
USC00166584        1760Q
USC00166657        2014R
USC00166686        1922S
USC00166938        1794R
USC00166978        1764R
USC00167344        1751R
USC00167691        1694R
USC00167738        1748S
USC00167767        1867S
USC00167924        1695Q
USC00167932        1624S
USC00168046        1700S
USC00168067        1592S
USC00168108        1807R
USC00168163        1808S
USC00168181        1718Q
USC00168444        1697Q
USC00168448        1615Q
USC00168539        1804S
USC00168543        1823R
USC00168923        1718S
USC00168941        1881R
USC00169013        1927R
USC00169074        1760Q
USC00169803        1793R
USC00169804        1819Q
USC00169806        1753S
USC00170100         377S
USC00170200         287R
USC00170398         317R
USC00170480         212S
USC00170655         341Q
USC00170814         207S
USC00170833         324S
USC00170844         320S
USC00171472         213R
USC00171628         411S
USC00171833         324R
USC00171975         389S
USC00172048         313R
USC00172238         408S
USC00172426         149R
USC00172620         302R
USC00172623         250Q
USC00172700         202R
USC00172765         364C
USC00172878         235S
USC00173046         409S
USC00173261         376S
USC00173295         396R
USC00173353         190Q
USC00173417         351Q
USC00173570         243R
USC00173862         482R
USC00173944         322R
USC00174086         235C
USC00174183         197R
USC00174193         221R
USC00174566         403R
USC00174683         367Q
USC00174781         163S
USC00174927         348S
USC00175261         229S
USC00175304         359S
USC00175347         397Q
USC00175675         272S
USC00176430         485R
USC00176594         219R
USC00176721         245R
USC00176856         369Q
USC00176875         283Q
USC00176881          41R
USC00176937         323S
USC00177037         229C
USC00177039         163R
USC00177174         260R
USC00177238         234R
USC00177325         444S
USC00177479         643S
USC00177654         382R
USC00178353         334R
USC00178792         325Q
USC00178817         368Q
USC00178965         247S
USC00178974         426R
USC00179151         426S
USC00179294         271R
USC00179314         491S
USC00179547         205Q
USC00179593         232S
USC00179891         458S
USC00180193        1197R
USC00180335         911R
USC00180700        1055S
USC00180732        1183R
USC00181385        1208R
USC00181530         727S
USC00181750         977S
USC00181862        1097R
USC00181995        1149R
USC00182060        1113R
USC00182282        1182S
USC00182308         800Q
USC00182325        1153S
USC00182335         912R
USC00182336         802R
USC00182906         826S
USC00183348        1150R
USC00183353        1020Q
USC00183415         421S
USC00183675        1029R
USC00184030         997R
USC00185080         976R
USC00185111        1083R
USC00185832         399R
USC00185865         937S
USC00185934         770R
USC00185985        1095R
USC00186350        1198S
USC00186620         364S
USC00186770        1092R
USC00186800        1121Q
USC00187330        1260R
USC00187705         869R
USC00187806        1087S
USC00188000        1111S
USC00188065         577S
USC00188207        1019R
USC00188371         927Q
USC00188380        1197C
USC00188405        1150Q
USC00188557         962Q
USC00189030        1015R
USC00189070        1075R
USC00189140        1233S
USC00189440        1055R
USC00189570        1009Q
USC00189750        1081R
USC00190120         626S
USC00190190         400Q
USC00190192         367Q
USC00190213         330Q
USC00190408         421R
USC00190535         609R
USC00190562         492Q
USC00190593         397R
USC00190666         563R
USC00190759         320R
USC00190840         603Q
USC00190860         588S
USC00190998         579R
USC00191386          85S
USC00191774         261R
USC00191821         526Q
USC00192107         507S
USC00192451         386S
USC00192501         410S
USC00193213         629R
USC00193229         542Q
USC00193276         618R
USC00193505         629S
USC00193624         566S
USC00193821         272R
USC00193890         705R
USC00193985         606R
USC00194075         370R
USC00194105         668S
USC00194131         613R
USC00194313         738R
USC00194502         458R
USC00194580         756S
USC00194711         614Q
USC00194744         706S
USC00195175         585Q
USC00195246         604R
USC00195984         657S
USC00196245         489R
USC00196486         596S
USC00196783         584S
USC00196938         606S
USC00197230         235Q
USC00197627         492R
USC00198367         667R
USC00198573         666R
USC00198757         647S
USC00199193         557Q
USC00199316         751R
USC00199371         300Q
USC00199972         369R
USC00200032         621S
USC00200089         299R
USC00200106         693Q
USC00200128         593R
USC00200146         606C
USC00200166         394R
USC00200197         346Q
USC00200220         517Q
USC00200228         707Q
USC00200230         711S
USC00200342         477Q
USC00200343         364R
USC00200361         601Q
USC00200417         489S
USC00200446         654R
USC00200718         363S
USC00200758         426Q
USC00200770         358R
USC00200779         516S
USC00200842         674Q
USC00200864         709S
USC00200925         671C
USC00201052         580Q
USC00201150         683Q
USC00201238         607Q
USC00201250         532Q
USC00201299         611R
USC00201343         527Q
USC00201361         515R
USC00201435         361Q
USC00201439         239R
USC00201468         230R
USC00201476         571S
USC00201486         352R
USC00201492         293R
USC00201502         588Q
USC00201675         530S
USC00201780         179R
USC00201802         394R
USC00201818         621Q
USC00201896         183S
USC00202015         819S
USC00202016         787Q
USC00202094         169S
USC00202250         581S
USC00202308         740Q
USC00202328         635Q
USC00202381         639C
USC00202395         654R
USC00202423         448S
USC00202427         728Q
USC00202445         845S
USC00202503         393Q
USC00202631         616S
USC00202691         614Q
USC00202737         112R
USC00202788         589Q
USC00202804         425R
USC00202851         551Q
USC00202955         485Q
USC00202984         228S
USC00203025         400Q
USC00203096         345S
USC00203099         274R
USC00203188         397Q
USC00203278         633Q
USC00203290         407R
USC00203295         325Q
USC00203391         449S
USC00203429         704C
USC00203477         542S
USC00203504         869R
USC00203529         458S
USC00203585         254S
USC00203628         201R
USC00203632         410R
USC00203661         605S
USC00203712         629Q
USC00203744         233S
USC00203769         575R
USC00203823         618R
USC00203858         731S
USC00203913         722Q
USC00203930         454R
USC00203932         545R
USC00203947         694Q
USC00204078         555S
USC00204090         488S
USC00204104         269S
USC00204130         362Q
USC00204257         352R
USC00204258         372Q
USC00204399         562Q
USC00204502         419C
USC00204655         540S
USC00204659         550Q
USC00204793         540Q
USC00204808         381Q
USC00204954         383S
USC00204967         542R
USC00205050         689Q
USC00205065         475S
USC00205073          97S
USC00205097         524R
USC00205168         474Q
USC00205434         594S
USC00205450         751R
USC00205451         728Q
USC00205452         548S
USC00205531         566R
USC00205533         455Q
USC00205558         691R
USC00205563         682Q
USC00205567         402S
USC00205591         162Q
USC00205603         789Q
USC00205662         595R
USC00205690         228S
USC00205810         196Q
USC00205816         215R
USC00205822         657Q
USC00206007         188Q
USC00206012         381R
USC00206158         462R
USC00206184         566S
USC00206220         460S
USC00206300         602S
USC00206442         370Q
USC00206507         197S
USC00206510         227Q
USC00206583         403Q
USC00206587         556Q
USC00206658         584R
USC00206662         402Q
USC00206663         289R
USC00206680         525S
USC00206982         522Q
USC00207094         406S
USC00207190         375S
USC00207222         661Q
USC00207225         500Q
USC00207253         584R
USC00207274         141S
USC00207277         174R
USC00207280         649S
USC00207308         748Q
USC00207312         712Q
USC00207320         741Q
USC00207350         493R
USC00207364         280R
USC00207515         506R
USC00207684         498Q
USC00207690         467S
USC00207812         283S
USC00207820         528S
USC00207867         554R
USC00208043         260R
USC00208080         785Q
USC00208184         765S
USC00208202         684Q
USC00208249         423Q
USC00208293         221R
USC00208345         175Q
USC00208417         513S
USC00208443         556Q
USC00208680         366R
USC00208706         159Q
USC00208774         559Q
USC00208800         466S
USC00208920         107S
USC00208941         496R
USC00208972         508Q
USC00209188         521Q
USC00210018         576S
USC00210050         563R
USC00210059         382R
USC00210075         619S
USC00210157         839R
USC00210190         589Q
USC00210252         563C
USC00210287         497S
USC00210355         523S
USC00210387         266R
USC00210515         494R
USC00210564         169Q
USC00210643         303R
USC00210667         690S
USC00210746         531R
USC00210809         321R
USC00210939         477S
USC00210973         626Q
USC00210989         266R
USC00211063         711S
USC00211065         614Q
USC00211074         369R
USC00211107         540R
USC00211174         633R
USC00211198         498S
USC00211227         536R
USC00211245         618R
USC00211250         348Q
USC00211263         708S
USC00211374         382S
USC00211390         517R
USC00211448         571R
USC00211465         807R
USC00211468         607Q
USC00211630         422S
USC00211691         635S
USC00211771         313Q
USC00211776         333R
USC00211840         253R
USC00211891         521S
USC00212015         555Q
USC00212023         613Q
USC00212050         461R
USC00212088         591R
USC00212142         600R
USC00212246         225R
USC00212500         645Q
USC00212543         430R
USC00212555         320Q
USC00212576         207R
USC00212645         262R
USC00212698         704S
USC00212721         622S
USC00212737         614S
USC00212768         524R
USC00212842         280R
USC00212881         685S
USC00212916         415S
USC00213076         601S
USC00213104         632S
USC00213174         704S
USC00213282          94S
USC00213290         482S
USC00213296         136R
USC00213303         474C
USC00213311         745Q
USC00213411         364S
USC00213417         229R
USC00213455         453R
USC00213567         568R
USC00213793         447R
USC00213962         659S
USC00214103         316S
USC00214106         388S
USC00214176         537S
USC00214191         314Q
USC00214306         291R
USC00214373         472Q
USC00214453         592R
USC00214534         654S
USC00214546         709S
USC00214652         407S
USC00214778         548S
USC00214793         717S
USC00214809         300R
USC00214861         449S
USC00214884         842R
USC00214918          84R
USC00214937         769R
USC00214994         706S
USC00215012         558R
USC00215073         691R
USC00215175         243R
USC00215204         731S
USC00215325         522R
USC00215392         463S
USC00215400         813S
USC00215563         641S
USC00215586         630R
USC00215598         436S
USC00215615         498R
USC00215638         578S
USC00215838         606R
USC00215842         656S
USC00215887         656S
USC00215902         441Q
USC00215989         288Q
USC00216148         445R
USC00216152         654S
USC00216211         207Q
USC00216228         607Q
USC00216276         492R
USC00216287         611S
USC00216547         433S
USC00216565         679S
USC00216612         378Q
USC00216654         640S
USC00216787         462S
USC00216795         428R
USC00216822         654R
USC00216839         716Q
USC00216920         560Q
USC00217087         351R
USC00217107         567S
USC00217149         510R
USC00217184         675R
USC00217326         652S
USC00217377         621R
USC00217379         573Q
USC00217405         725S
USC00217460         397Q
USC00217502         673S
USC00217907         709S
USC00217935         568Q
USC00218025         684R
USC00218037         846R
USC00218039         498Q
USC00218191         339R
USC00218227         700R
USC00218247         507R
USC00218254         445R
USC00218307         318Q
USC00218311         327S
USC00218323         668S
USC00218419         190S
USC00218421         253R
USC00218429         647R
USC00218450         710R
USC00218477         737R
USC00218579         367S
USC00218618         344S
USC00218621         320Q
USC00218679         355S
USC00218692         664S
USC00218700         403R
USC00218808         671R
USC00218907         615S
USC00218947         614Q
USC00218986         580R
USC00219004         628S
USC00219033         828S
USC00219046         701S
USC00219067         802S
USC00219072         593R
USC00219101         342R
USC00219134         239R
USC00219170         639S
USC00219173         321S
USC00219249         559S
USC00220021        1543S
USC00220488        1522S
USC00220521        1573S
USC00220585        1956R
USC00220660        1631S
USC00220792        1662R
USC00220955        1370R
USC00221094        1716S
USC00221111        1610Q
USC00221314        1512S
USC00221389        1717R
USC00221489        1715S
USC00221606        1520R
USC00221707        1496S
USC00221738        1599R
USC00221743        1584R
USC00221852        1619S
USC00221865        1835R
USC00221880        1682R
USC00221962        1420S
USC00222094        1791R
USC00222282        1528Q
USC00222385        1704S
USC00222896        1549S
USC00223107        1679S
USC00223208        1431S
USC00223605        1602R
USC00223645        1504S
USC00223671        1657R
USC00223887        1735S
USC00223920        1804S
USC00223975        1699R
USC00224001        1470S
USC00224173        1506S
USC00224265        1457R
USC00224377        1398R
USC00224455        1351S
USC00224702        1633R
USC00224776        1477R
USC00224869        1616Q
USC00224939        1741S
USC00225062        1548R
USC00225070        1800R
USC00225247        1508R
USC00225361        1669R
USC00225704        1825R
USC00225789        1925R
USC00225897        1636R
USC00225987        1929R
USC00226009        1574S
USC00226177        1764S
USC00226308        1669S
USC00226476        1862R
USC00226527        1490R
USC00226638        1683Q
USC00226718        1607R
USC00226811        1840R
USC00226894        1773S
USC00226921        1837R
USC00226926        1562R
USC00227111        1386S
USC00227128        1716S
USC00227132        1710S
USC00227252        1661R
USC00227276        1642Q
USC00227444        1691R
USC00227467        1366R
USC00227560        1735C
USC00227815        1643Q
USC00227831        1728Q
USC00227840        1993S
USC00227921        1482Q
USC00228374        1588S
USC00228445        1631S
USC00228998        1504S
USC00229004        1495Q
USC00229048        1820R
USC00229079        1544S
USC00229173        1559R
USC00229216        1736R
USC00229230        1671Q
USC00229400        1543S
USC00229426        1626S
USC00229439        1677R
USC00229639        1853R
USC00229743        1469S
USC00229793        1852R
USC00229860        1648S
USC00230051        1090Q
USC00230127        1242R
USC00230143         944S
USC00230163        1117Q
USC00230164        1141S
USC00230204        1095S
USC00230224        1159R
USC00230304        1241Q
USC00230360        1162Q
USC00230368        1110Q
USC00230608         933S
USC00230657        1256R
USC00230789        1181S
USC00230817        1173S
USC00230856         986R
USC00230980         969S
USC00231037         946S
USC00231087        1023R
USC00231101        1135R
USC00231145        1134S
USC00231189        1058S
USC00231212        1243R
USC00231275         935S
USC00231340        1130S
USC00231356        1289R
USC00231364        1323S
USC00231383        1106R
USC00231540        1296R
USC00231580        1104S
USC00231600        1075Q
USC00231640        1073R
USC00231674        1290R
USC00231711        1138S
USC00231748        1123Q
USC00231801        1124R
USC00231822         914S
USC00232240        1201R
USC00232289        1301S
USC00232302        1152S
USC00232503        1154S
USC00232511        1162R
USC00232568        1036R
USC00232591        1246S
USC00232619        1323Q
USC00232809        1084S
USC00232850        1153R
USC00232981        1034Q
USC00233038        1174S
USC00233043        1063S
USC00233079        1026S
USC00233094        1226R
USC00233102         940R
USC00233162        1167Q
USC00233369         858R
USC00233416         907Q
USC00233451        1217R
USC00233483        1108R
USC00233568         938S
USC00233601         946S
USC00233838         971R
USC00234019        1126R
USC00234154        1059R
USC00234226        1250S
USC00234271        1131S
USC00234382        1062Q
USC00234417        1434S
USC00234544         854S
USC00234694        1123S
USC00234705        1240S
USC00234825        1129S
USC00234850        1025S
USC00234904        1125S
USC00234919        1109S
USC00234982         959Q
USC00235027        1120S
USC00235050        1014R
USC00235207        1319R
USC00235227        1075S
USC00235253        1239S
USC00235307        1072C
USC00235340         998S
USC00235492         901R
USC00235541        1088R
USC00235671         986S
USC00235704        1088S
USC00235708        1172Q
USC00235834        1017S
USC00235862        1147S
USC00235950        1234Q
USC00235976        1165S
USC00235987        1219S
USC00236012        1057S
USC00236045        1300S
USC00236302         991R
USC00236357        1002R
USC00236402        1239S
USC00236460        1198S
USC00236641        1176S
USC00236745        1076R
USC00236777        1155R
USC00236791        1300S
USC00236804        1291S
USC00236826         977R
USC00236866         996R
USC00237116        1107Q
USC00237263        1140S
USC00237300        1065R
USC00237309        1291Q
USC00237397        1101S
USC00237398        1148S
USC00237452        1205R
USC00237475        1178R
USC00237506        1269S
USC00237514        1082S
USC00237578        1081S
USC00237632        1044S
USC00237645        1118R
USC00237656        1243Q
USC00237720         938R
USC00237772        1364R
USC00237862         972R
USC00237963         870S
USC00238043        1195R
USC00238051        1084S
USC00238082        1111S
USC00238184        1095R
USC00238223        1091S
USC00238444        1001R
USC00238466        1141R
USC00238515        1294S
USC00238523         893R
USC00238571        1365R
USC00238577         984R
USC00238583        1119Q
USC00238603        1028S
USC00238620        1347S
USC00238664        1199Q
USC00238700        1387R
USC00238712        1134R
USC00238725        1052R
USC00238754        1088R
USC00238777        1024S
USC00238805        1095R
USC00238880        1167S
USC00238995        1137R
USC00239032        1052R
USC00239178        1220Q
USC00240075         747Q
USC00240088         811R
USC00240110         404S
USC00240199         536S
USC00240364         612R
USC00240375         392S
USC00240392         364R
USC00240412         699Q
USC00240432         813R
USC00240466         650R
USC00240554         561Q
USC00240743         844S
USC00240755         375S
USC00240770         722R
USC00240775         299R
USC00240780         752S
USC00240801         836R
USC00240802         963S
USC00240819        1034R
USC00240877         420R
USC00240923         657R
USC00241008         575C
USC00241044         631S
USC00241047         608S
USC00241050         280R
USC00241084         921S
USC00241088         627S
USC00241102         802R
USC00241127         888S
USC00241169         760S
USC00241262         507Q
USC00241297         842S
USC00241470         591R
USC00241500         808R
USC00241518         542S
USC00241525         707S
USC00241552         672C
USC00241557         516S
USC00241692         606S
USC00241722         693S
USC00241730         465Q
USC00241737         560S
USC00241758         774S
USC00241875         753C
USC00241905         665S
USC00241938         833S
USC00241974         488R
USC00241984         741S
USC00241995         157S
USC00242104         442S
USC00242122         821C
USC00242221         677R
USC00242275         498R
USC00242301         311R
USC00242347         597S
USC00242409         626S
USC00242421         499S
USC00242550         564Q
USC00242629         226R
USC00242689         654S
USC00242738         507Q
USC00242793         651S
USC00242827         722S
USC00242857         489S
USC00243013         835S
USC00243089         692R
USC00243098         871S
USC00243110         753S
USC00243113         744S
USC00243139         599R
USC00243176         900S
USC00243378         788R
USC00243437          85Q
USC00243445         747R
USC00243489         320S
USC00243530         666S
USC00243557         790R
USC00243570         717R
USC00243581         842S
USC00243617         495S
USC00243727         613S
USC00243749         661Q
USC00243753         565R
USC00243885         693R
USC00243915        1030S
USC00243929         810S
USC00243934         662Q
USC00243939         603R
USC00243984         526R
USC00244007         832R
USC00244038         326S
USC00244084         522S
USC00244180         654R
USC00244193         544Q
USC00244241         748S
USC00244297         695R
USC00244328         541S
USC00244345         833S
USC00244358         834S
USC00244364         825S
USC00244368         711R
USC00244386         811S
USC00244447         226R
USC00244506         769S
USC00244512         599S
USC00244522         788R
USC00244530         793R
USC00244545         368S
USC00244558         531S
USC00244560         492Q
USC00244820         232R
USC00244839         921R
USC00244896         340Q
USC00244954         323S
USC00245000         623R
USC00245011         643R
USC00245015         831S
USC00245020         426S
USC00245030         414S
USC00245040         552R
USC00245043         344S
USC00245080         543S
USC00245123         520Q
USC00245153         781C
USC00245285         500R
USC00245334         774R
USC00245338         737S
USC00245340         797S
USC00245387         554S
USC00245572         648S
USC00245596         886S
USC00245603         255S
USC00245668         769S
USC00245712         436R
USC00245735         625S
USC00245740         640Q
USC00245754         943S
USC00245761         513C
USC00245870         911S
USC00245872         792R
USC00245961         206S
USC00245983         871R
USC00246007         489Q
USC00246008         551R
USC00246157         799S
USC00246190         643S
USC00246218         467S
USC00246236         562S
USC00246238         496S
USC00246304         508S
USC00246370         447Q
USC00246472         475S
USC00246580         430Q
USC00246586         708R
USC00246601         769S
USC00246615         447R
USC00246618         458Q
USC00246635         526S
USC00246640         599S
USC00246647         721R
USC00246655         353R
USC00246672         615R
USC00246685         618S
USC00246691         903S
USC00246862         775S
USC00246893         614S
USC00246902         534C
USC00246918         430R
USC00246927         629R
USC00247034         674S
USC00247136         691S
USC00247159         477R
USC00247204         569Q
USC00247214         936S
USC00247220         802Q
USC00247228         734R
USC00247234         869R
USC00247247         636Q
USC00247248         657Q
USC00247250         590R
USC00247261         812Q
USC00247263         600S
USC00247265         678S
USC00247286         720S
USC00247292         385R
USC00247318         771R
USC00247342         598Q
USC00247382         862S
USC00247425         673R
USC00247448         629S
USC00247500         596R
USC00247540         469R
USC00247560         857S
USC00247620         767R
USC00247740         606S
USC00247864         532S
USC00247894         847S
USC00247964         563S
USC00247967         548Q
USC00247978         170Q
USC00247996         469R
USC00248021         626S
USC00248087         494R
USC00248093         518R
USC00248165         797S
USC00248169         588S
USC00248211         855S
USC00248233         747R
USC00248324         630S
USC00248363         786R
USC00248380         651S
USC00248390         780R
USC00248395         699R
USC00248415         641R
USC00248430         694S
USC00248498         710R
USC00248501         522S
USC00248569         734R
USC00248597         523C
USC00248777         491R
USC00248783         612R
USC00248809         446S
USC00248857         318R
USC00248858         384Q
USC00248902         450R
USC00248930         515R
USC00248957         711S
USC00249023         348C
USC00249033         616S
USC00249067         363S
USC00249082         379R
USC00249103         857R
USC00249175         866R
USC00249187         482Q
USC00249240         844S
USC00249900         420R
USC00250030         981S
USC00250050         902S
USC00250070         867R
USC00250130         930R
USC00250138         880Q
USC00250245         896C
USC00250355         884R
USC00250365         941S
USC00250375        1118S
USC00250420         834S
USC00250435        1140C
USC00250445         942S
USC00250525         920R
USC00250622        1036R
USC00250640        1187C
USC00250760        1205S
USC00250865        1054S
USC00250930         895R
USC00251130         937R
USC00251145        1112S
USC00251149         994Q
USC00251189        1008Q
USC00251200         795S
USC00251213         898R
USC00251345         807R
USC00251361         787Q
USC00251365         824C
USC00251415        1082R
USC00251450         942S
USC00251560        1040S
USC00251578         984Q
USC00251590         829S
USC00251602         992Q
USC00251660         868R
USC00251684         982S
USC00251825         961C
USC00251835        1039R
USC00251973         924R
USC00251990         912S
USC00252000         977R
USC00252020        1046S
USC00252037         844R
USC00252065        1127S
USC00252100        1038R
USC00252145         805S
USC00252205         873S
USC00252595         793R
USC00252647         757R
USC00252680        1124S
USC00252741        1074R
USC00252770         870R
USC00252790         920Q
USC00252805         952S
USC00252820        1060S
USC00252840         984S
USC00252980         807Q
USC00253015         933Q
USC00253037        1053R
USC00253050         977S
USC00253065        1013Q
USC00253165         745R
USC00253175         992C
USC00253185         927C
USC00253355         853S
USC00253365         959S
USC00253425         916S
USC00253467         916Q
USC00253515        1099R
USC00253595        1045R
USC00253605         926S
USC00253615         706S
USC00253617         673Q
USC00253618         844Q
USC00253630         818S
USC00253652         878Q
USC00253660         971S
USC00253710         834R
USC00253715         956R
USC00253735        1063S
USC00253755         815C
USC00253810         975R
USC00253910         948S
USC00254035         806R
USC00254100         746R
USC00254101         839Q
USC00254110         997S
USC00254335         932S
USC00254432         893R
USC00254440         777S
USC00254455         946S
USC00254755         994Q
USC00254900        1007S
USC00254903         931R
USC00254985         954S
USC00255040         958R
USC00255080         868S
USC00255090        1049S
USC00255250         920R
USC00255362         957S
USC00255388        1119S
USC00255470         939R
USC00255565        1005S
USC00255590         949R
USC00255655         938Q
USC00255700        1036R
USC00255702         901R
USC00255810        1004S
USC00255868         833R
USC00255925         788C
USC00255960        1098R
USC00255997         858R
USC00256018         848R
USC00256040         928S
USC00256075         909S
USC00256135         808C
USC00256167         910S
USC00256200        1043S
USC00256290         899C
USC00256375         875S
USC00256385         977S
USC00256395         901S
USC00256439        1013R
USC00256454        1083R
USC00256570        1079S
USC00256765         802Q
USC00256970         943R
USC00257002         979R
USC00257040         824S
USC00257055         946Q
USC00257070        1060S
USC00257110        1051S
USC00257318         885R
USC00257401        1092Q
USC00257415         813R
USC00257515        1058S
USC00257667         980Q
USC00257715         975C
USC00257830         920R
USC00258088         874Q
USC00258090         890R
USC00258110         954R
USC00258117         868Q
USC00258133         982R
USC00258320        1110C
USC00258328        1073R
USC00258360         830R
USC00258395        1099C
USC00258410        1066Q
USC00258455         926Q
USC00258465        1057S
USC00258480         885S
USC00258628        1142S
USC00258650         874R
USC00258751         966R
USC00258755         959R
USC00258795         925R
USC00258875         921R
USC00258905         952R
USC00258915         986S
USC00258920        1000S
USC00258935         945S
USC00259020        1028Q
USC00259045         859R
USC00259090         901S
USC00259193         953Q
USC00259200         863S
USC00259510        1099S
USC00259513        1042Q
USC00260125        1966Q
USC00260150        1879S
USC00260438         605R
USC00260507         757R
USC00260718        1568R
USC00260795        1120R
USC00260800         887S
USC00260955        1215S
USC00261071        1676R
USC00261327        1963R
USC00261358        1362R
USC00261371        2127R
USC00261415         647R
USC00261485        1027S
USC00261590        1204Q
USC00261660         735Q
USC00261684         982Q
USC00261740         769R
USC00261905         906R
USC00262119         123R
USC00262189         852R
USC00262229        1030S
USC00262243        1738S
USC00262296         908R
USC00262390        1063R
USC00262394         889R
USC00262431        1252R
USC00262497        1972R
USC00262557        1561R
USC00262570         961R
USC00262656         878R
USC00262708         721S
USC00262780        1152S
USC00263090        1172R
USC00263114         733R
USC00263205         291S
USC00263245        1177R
USC00263285         971R
USC00263316        1700Q
USC00263340         645R
USC00263512        1280R
USC00263671        1490R
USC00263957        1092S
USC00263964         675Q
USC00264016         699R
USC00264039         631R
USC00264095         682R
USC00264236        1092R
USC00264253         921Q
USC00264341         929R
USC00264349        1270R
USC00264384         744R
USC00264391         674Q
USC00264394         755R
USC00264439        1800R
USC00264480        2213R
USC00264491         851Q
USC00264527        1019S
USC00264698        1180S
USC00264745         922S
USC00264935         952S
USC00264950         911S
USC00265087        1986Q
USC00265092         842R
USC00265132        1107R
USC00265168        1287S
USC00265191        1187S
USC00265352        1060S
USC00265371         818Q
USC00265392         714R
USC00265400         248R
USC00265705        1918R
USC00265722         806R
USC00265818        1068S
USC00265846        2084R
USC00265880        1589R
USC00265890        1748S
USC00266005        1107S
USC00266055        1271R
USC00266130        1174R
USC00266242         973R
USC00266252         962R
USC00266514        1279Q
USC00266691        1481S
USC00266746         711S
USC00266791        1044R
USC00267123         780S
USC00267175         617R
USC00267188        1028Q
USC00267192        1249S
USC00267369        1555S
USC00267450         868R
USC00267463        1388S
USC00267612        1091S
USC00267618        1189R
USC00267620        1064S
USC00267640         582R
